,ID,RELATED_ID,YEAR,MONTH,DAY,DPTOMPIO,MPIO_CNMBR,DEPARTMENT,REGION,MODALITY,RESPONSIBLE,RESPONSIBLE_DESCRIPTION,LAND_DISPOSSESSION,THREAT,MEDICAL_MISSION,CONFINEMENT,DISPLACEMENT,EXTORTION,INJURIES,PLUNDER,TORTURE,GENDER_VIOLENCE,SIMULTANEOUS_EVENT,VICTIMS,WEAPONS,LAT,LON
3881,439386,,2002,3,4,20011,AGUACHICA,CESAR,MAGDALENA MEDIO,ASSAULT,PARAMILITARY GROUP,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,8.3103369584,-73.599028585
3882,439388,,1994,4,16,05142,CARACOLI,ANTIOQUIA,MAGDALENA MEDIO ANTIOQUEÑO,RETENTION/EXECUTION,PARAMILITARY GROUP,NOT IDENTIFIED,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,5.0,NOT AVAILABLE,6.4098547268,-74.7574494413
3883,439389,,1977,12,0,19364,JAMBALO,CAUCA,NORTE DEL CAUCA,ASSAULT,UNKNOWN,DO NOT APPLY,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,4.0,BLADE WEAPONS - FIREARM,2.7778373466,-76.3238781841
3884,439390,,2000,11,28,54874,VILLA DEL ROSARIO,NORTE DE SANTANDER,AREA METROPOLITANA DE CUCUTA,CONTRACT KILLING,PARAMILITARY GROUP,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,BLADE WEAPONS - FIREARM,7.8474874315,-72.4700673416
3885,439391,,2001,5,1,73000,SIN INFORMACION,TOLIMA,,UNKNOWN,PARAMILITARY GROUP,AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,NOT AVAILABLE,5.3008119038,-72.0
3886,439392,,1994,10,0,13244,EL CARMEN DE BOLIVAR,BOLIVAR,MONTES DE MARIA,UNKNOWN,UNIDENTIFIED ARMED GROUP,DO NOT APPLY,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,18.0,BLUNT OBJECT,9.6455484527,-75.1418631427
3887,439393,,1994,12,17,05837,TURBO,ANTIOQUIA,URABA,ROUTE,GUERRILLA,FARC,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,,4.0,FIREARM,8.3712078202,-76.4857191543
3888,439394,,2002,7,18,13001,CARTAGENA DE INDIAS,BOLIVAR,CANAL DEL DIQUE,ATTACK,GUERRILLA,FARC,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,6.0,EXPLOSIVE DEVICE,10.3849855226,-75.496431028
3889,439395,,2004,5,10,85001,YOPAL,CASANARE,PIEDEMONTE LLANERO,ASSAULT,PARAMILITARY GROUP,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,5.3276126513,-72.396915159
3890,439396,,1996,5,0,54498,OCANA,NORTE DE SANTANDER,CATATUMBO,RETENTION/EXECUTION,GUERRILLA,NOT IDENTIFIED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,4.0,NOT AVAILABLE,8.2474537916,-73.3558144029
