Year,Publisher_condensed,Global_Sales
2011,Other,109.86
2011,Sega,16.79
2011,Sony Computer Entertainment,27.4
2011,Square Enix,12.459999999999999
2011,THQ,26.76
2011,Take-Two Interactive,18.03
2011,Ubisoft,48.03
2011,Warner Bros. Interactive Entertainment,20.04
2012,Activision,53.25
2012,Atari,0.05
2012,Capcom,14.68
2012,Electronic Arts,49.9
2012,Konami Digital Entertainment,7.97
2012,Microsoft Game Studios,15.33
2012,Namco Bandai Games,15.93
2012,Nintendo,56.47
2012,Other,37.59
2012,Sega,9.23
2012,Sony Computer Entertainment,12.85
2012,Square Enix,10.37
2012,THQ,6.7
2012,Take-Two Interactive,21.58
2012,Ubisoft,37.31
2012,Warner Bros. Interactive Entertainment,14.33
2013,Activision,43.49
2013,Capcom,7.63
2013,Electronic Arts,52.92
2013,Konami Digital Entertainment,5.37
2013,Microsoft Game Studios,16.39
2013,Namco Bandai Games,9.959999999999999
2013,Nintendo,52.79
2013,Other,47.31
2013,Sega,5.26
2013,Sony Computer Entertainment,12.61
2013,Square Enix,13.86
2013,THQ,0.36
2013,Take-Two Interactive,52.41
2013,Ubisoft,27.39
2013,Warner Bros. Interactive Entertainment,20.36
2014,Activision,44.48
2014,Capcom,0.32
2014,Electronic Arts,46.8
2014,Konami Digital Entertainment,5.0600000000000005
2014,Microsoft Game Studios,10.31
2014,Namco Bandai Games,9.64
2014,Nintendo,48.65
2014,Other,46.15
2014,Sega,5.64
2014,Sony Computer Entertainment,19.02
2014,Square Enix,10.35
2014,Take-Two Interactive,30.26
2014,Ubisoft,41.95
2014,Warner Bros. Interactive Entertainment,18.42
2015,Activision,35.63
2015,Capcom,5.64
2015,Electronic Arts,45.42
2015,Konami Digital Entertainment,6.859999999999999
2015,Microsoft Game Studios,9.95
2015,Namco Bandai Games,15.56
2015,Nintendo,27.080000000000002
2015,Other,47.32
2015,Sega,1.55
2015,Sony Computer Entertainment,11.01
2015,Square Enix,8.86
2015,Take-Two Interactive,15.03
2015,Ubisoft,12.79
2015,Warner Bros. Interactive Entertainment,21.740000000000002
