,ID,DPTOMPIO,MPIO_CNMBR,DEPARTMENT,YEAR,MONTH,DAY,ID,GENDER,ETHNICITY,OCCUPATION,ROBBER,ALARM,COOK,COMMANDER,FIGHTER,ACCOUNTING,TRAINING,SHOOTING GUARD,EXTORTION,WEAPON MANUFACTURING,MANUFACTURE-PLANTING OF MINES,GUARD,INFORMANT,PATROLMAN,RADIO OPERATIONS,COCA PICKER,HEALTH SERVICES,CONTRACT KILLER,ORGANIZATIONAL WORK,DRUG TRAFFICKING,WEAPONS TRANSPORT,NO INFO,OTHER,AGE,LAT,LON
48,301816,41298,GARZON,HUILA,1984,9,6,343276,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
49,301816,41298,GARZON,HUILA,1984,9,6,343277,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
50,301816,41298,GARZON,HUILA,1984,9,6,343278,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
51,301816,41298,GARZON,HUILA,1984,9,6,343279,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
52,301816,41298,GARZON,HUILA,1984,9,6,343280,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
53,301816,41298,GARZON,HUILA,1984,9,6,343281,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
54,301816,41298,GARZON,HUILA,1984,9,6,343282,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
55,301816,41298,GARZON,HUILA,1984,9,6,343283,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
56,301816,41298,GARZON,HUILA,1984,9,6,343284,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
57,301816,41298,GARZON,HUILA,1984,9,6,343285,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
58,301816,41298,GARZON,HUILA,1984,9,6,343286,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
59,301816,41298,GARZON,HUILA,1984,9,6,343287,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
60,301816,41298,GARZON,HUILA,1984,9,6,343288,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
61,301816,41298,GARZON,HUILA,1984,9,6,343289,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
62,301816,41298,GARZON,HUILA,1984,9,6,343290,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
63,301816,41298,GARZON,HUILA,1984,9,6,343291,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
64,301816,41298,GARZON,HUILA,1984,9,6,343292,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
65,301816,41298,GARZON,HUILA,1984,9,6,343293,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
66,301816,41298,GARZON,HUILA,1984,9,6,343294,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
67,301816,41298,GARZON,HUILA,1984,9,6,343295,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
68,301816,41298,GARZON,HUILA,1984,9,6,343296,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
